review_text	Class
"
Phone is good but lready used, FB messenger logged in with unknown ID. Top transparent sheet missing on phones screen, Frequently hanging during usage. Phone already updated it's meant used phone. Unable to replace. Unable to register complaint. Please help.
"	positive
"
Look - Rating 4/5Camera - 3/5Battery - 3.5/5Performance 3.5/5Overall 3.5/5 on Middle range 5G..
"	positive
"
Really awesome display 😍 super camera super design fabulous 😍💐
"	positive
"
I wasted my money. Lots of hangings and very slow. Network issues. This is not a 5G or even equal to 1G. Please do not buy this and waste your money. I asked for a refund but Amazon saying is can be replaceable. Not a good service by Amazon and don't know why they are selling such a third class mobile.
"	positive
"
Mobile is good but net profile working is very slow. I am using airtel 4g sim but not working properly.Camera is not good.
"	positive
"
Recently I ordered it, while recording video from front camera, screen is becoming white and also the video,Also while normal uses, it hanging and screen is becoming black.This experience is necessary for the people who are going to buy new mobile with their hard earned money.Take care.
"	positive
"
Very good display and in hand feel is great. Good camera and it works decent in low light. Great battery life. Overall good phone. I got good first day offer discounts also. Colour os after update is working very smoothly and giving a great user experience.
"	positive
"
Best mid range 5G smartphone by OPPO.Pros :1. 5G support2. Clean Color OS by OPPO.3. Fast Charging with massive battery.4. Sound quality is decent.5. Light weight & handy phone.Cons :1. Camera needs improvement.2. Feels little bit bulky design.3. OPPO should provide earphones with box.
"	positive
"
My usecase - I replaced by secondary phone Redmi Note 4 - wanted to 5G phone with good battery and Sub 15K price tag. Primary use as a GPS navigation in car, Gaming and backup Hotspot phonePros -1) Very lightweight and extremely well built2) ColorOS is flawless - simple, elegant and bug free3) Decently fast phone and responds to quick touches well - especially while using at 90hz4) Able to handle games easily - its a future proof chipset5) Aesthetically, no concerns - decent phone to carry around6) Great connectivity with my various bluetooth enabled devices - My Bose 700 soundbar, Oppo Enco X TWS and even my fitbit smart band.7) Surprisingly good video call quality on selfie camera8) rear Camera setup - since not my primary phone, but if i have to rate it, i will give it 7/10.Cons -1) 18w is a decent charging adapter - but if u r used to faster charging, this will dissapoint you2) screen brightness is good, but being an ips LCD display, it will still keep you wanting more3)Mono Speakers are decent but not loud enough.
"	positive
"
I am writing my open review of this phone after using approximately 18daysPhone looks very good look wise 5 out of 5 🌟Camera quiliy is good but not expected from this price pointPhone some times working slow, something I feel I am using my old phone, it means phone performance is not match from my expectations, On this price we should have to buy another phones.
"	positive
"
Phone is good but lready used, FB messenger logged in with unknown ID. Top transparent sheet missing on phones screen, Frequently hanging during usage. Phone already updated it's meant used phone. Unable to replace. Unable to register complaint. Please help.
"	positive
"
Look - Rating 4/5Camera - 3/5Battery - 3.5/5Performance 3.5/5Overall 3.5/5 on Middle range 5G..
"	positive
"
Really awesome display 😍 super camera super design fabulous 😍💐
"	positive
"
I wasted my money. Lots of hangings and very slow. Network issues. This is not a 5G or even equal to 1G. Please do not buy this and waste your money. I asked for a refund but Amazon saying is can be replaceable. Not a good service by Amazon and don't know why they are selling such a third class mobile.
"	positive
"
Mobile is good but net profile working is very slow. I am using airtel 4g sim but not working properly.Camera is not good.
"	positive
"
Recently I ordered it, while recording video from front camera, screen is becoming white and also the video,Also while normal uses, it hanging and screen is becoming black.This experience is necessary for the people who are going to buy new mobile with their hard earned money.Take care.
"	positive
"
Very good display and in hand feel is great. Good camera and it works decent in low light. Great battery life. Overall good phone. I got good first day offer discounts also. Colour os after update is working very smoothly and giving a great user experience.
"	positive
"
Best mid range 5G smartphone by OPPO.Pros :1. 5G support2. Clean Color OS by OPPO.3. Fast Charging with massive battery.4. Sound quality is decent.5. Light weight & handy phone.Cons :1. Camera needs improvement.2. Feels little bit bulky design.3. OPPO should provide earphones with box.
"	positive
